"Score","PostTypeId","ave_sentiment"
2,"2",-0.142902425378494
18,"2",-0.0032364212466503
0,"1",-0.282490949171184
2,"1",0.344537610394274
7,"2",0.0714970923944763
1,"2",-0.0737621394851853
5,"1",0.0962250448649376
10,"1",-0.0667894487617434
11,"2",-0.0399194171794775
10,"2",0.0797028459880442
8,"1",0.139949253627602
7,"2",0.154758177231943
52,"1",-0.0763334027279583
2,"2",0.13093277111775
6,"2",0.0309841832440208
17,"1",0.325609720972508
2,"1",0.250535398171833
4,"2",0.143489216081359
43,"2",0.0217698813829039
6,"1",0.519701150387687
15,"1",0.105148412249158
4,"2",-0.0657741157962389
17,"2",0.205161855401437
6,"1",-0.280517444670926
7,"2",0.0148428459109731
-1,"2",0.0262139233663429
15,"2",0.115447295980385
11,"1",0.14756170659333
5,"2",0.229979377608675
15,"1",-0.242914450683091
2,"1",0.0568805483456847
33,"1",-0.0401477534273483
7,"2",-0.10688990853986
56,"2",-0.0090418904634489
2,"2",0.0121492085717653
3,"2",-0.274218564190595
21,"2",-0.142940555204873
11,"1",-0.222176577125783
6,"1",0.0238796399160311
12,"2",-0.0980693843335238
1,"2",-0.130452927594183
10,"2",-0.0187493656621261
4,"2",0.0175961144279929
1,"2",0.101991826649887
13,"1",0.405875550160006
0,"5",0
0,"4",0
15,"2",0.156857842617916
8,"1",0.133475393684437
4,"1",0.405933678549077
15,"2",-0.200085124739321
0,"2",-0.218603989676366
3,"1",0.0593071411239096
1,"2",0.0718022883792688
2,"2",-0.102781603056932
6,"1",-0.182022857239773
6,"2",0.114730452911714
17,"2",-0.106735060531721
1,"1",0.0654503474900797
7,"1",-0.168121663140183
9,"2",0.164524856151004
6,"1",-0.0280772272165576
3,"2",0.129162934163941
6,"1",0.273848190836974
5,"1",0.33280295990094
5,"2",-0.0470862406378448
6,"2",0.417582327212252
5,"2",0.13270096785308
5,"1",-0.0421053747177917
14,"1",0.244216255500591
3,"1",0.238112140445192
5,"2",0.00743659496169797
17,"1",-0.0059364333512685
9,"1",-0.193691900310702
3,"1",0.0427099277807219
0,"5",0.124034734589208
0,"4",0.196116135138184
2,"2",0.0947672543304928
-1,"2",0.0658782287210712
5,"1",-0.264190222210999
0,"5",0.21380899352994
0,"4",-0.126491106406735
6,"2",0.22217776782521
9,"2",-0.0498597397342115
6,"1",0.178096788439061
20,"2",0.0218508219425306
5,"2",0.0682505077351412
4,"1",0.176183082036551
5,"1",-0.042293586801481
10,"1",-0.105785894403398
1,"2",0.0915175863924645
9,"2",-0.0159213890585756
6,"2",0.0913527903992541
35,"1",0.140470529563956
10,"1",-0.17306000031262
1,"1",-0.569102408201203
3,"2",0.363887060917874
2,"1",0.00784832501895404
13,"2",0.108571663118495
5,"2",0.0449046878815808
7,"1",-0.17921206491027
8,"2",0.496476754292286
2,"1",0.0471939903724269
4,"2",0.173122437037343
26,"2",-0.00494354839713557
21,"1",0.196346287654207
21,"2",0.041049091444171
7,"1",0.0213565415809207
10,"2",0.063566532633131
37,"1",-0.00880482319698347
5,"2",-0.0455983974058686
8,"1",0.200926880983855
0,"5",0.0549591468962814
0,"4",-0.0235702260395516
7,"2",0.0500078321497757
5,"2",0.154069882844235
5,"1",0.123243036161133
6,"2",0.219551991427523
-1,"2",0.0987588422946376
4,"2",0.0900374469726788
12,"1",0.278783504356324
5,"1",0.0471404520791032
