"Year","Count.question","Count.answer","maxdate","mindate"
"2011",234,533,"2018-11-21","2011-08-23"
"2012",165,410,"2018-11-21","2011-08-23"
"2013",261,517,"2018-11-21","2011-08-23"
"2014",292,546,"2018-11-21","2011-08-23"
"2015",159,287,"2018-11-21","2011-08-23"
"2016",102,186,"2018-11-21","2011-08-23"
"2017",93,193,"2018-11-21","2011-08-23"
"2018",56,102,"2018-11-21","2011-08-23"
